episode,game_status,total_reward,turns,agent_stars,agent_cards_left,opponents_alive
257,eliminated,-2300.0,31,0,0,8
258,victory,2300.0,42,6,0,9
259,victory,2400.0,25,7,0,9
260,eliminated,-2100.0,40,2,0,10
261,eliminated,-2100.0,47,2,0,10
262,victory,2200.0,46,5,0,9
263,victory,2500.0,34,8,0,8
264,eliminated,-2300.0,48,0,0,9
265,victory,2000.0,21,3,0,9
266,victory,2000.0,44,3,0,10
267,victory,2300.0,92,6,0,7
268,eliminated,-2300.0,15,0,6,10
269,victory,2000.0,18,3,0,10
270,eliminated,-2300.0,85,0,0,9
271,eliminated,-2300.0,22,0,2,10
272,victory,2000.0,16,3,0,9
273,victory,2000.0,32,3,0,9
274,victory,2100.0,50,4,0,10
275,eliminated,-2200.0,31,1,0,10
276,eliminated,-2300.0,18,0,4,10
277,eliminated,-2300.0,19,0,6,10
278,victory,2000.0,45,3,0,9
279,victory,2400.0,128,7,0,6
280,victory,2100.0,30,4,0,9
281,victory,2400.0,29,7,0,9
282,victory,2200.0,172,5,0,4
283,victory,2200.0,88,5,0,9
284,victory,2200.0,39,5,0,9
285,eliminated,-2100.0,44,2,0,9
286,eliminated,-2300.0,15,0,3,10
287,victory,2200.0,63,5,0,9
288,eliminated,-2300.0,21,0,3,10
289,victory,2400.0,70,7,0,8
290,victory,2000.0,66,3,0,9
291,eliminated,-2100.0,47,2,0,8
292,victory,2300.0,51,6,0,9
293,eliminated,-2300.0,42,0,6,10
294,eliminated,-2300.0,14,0,4,10
295,victory,2300.0,45,6,0,10
296,eliminated,-2100.0,22,2,0,10
297,victory,2200.0,32,5,0,8
298,victory,2100.0,35,4,0,10
299,victory,2200.0,24,5,0,9
300,victory,2100.0,21,4,0,9
301,victory,2300.0,47,6,0,8
302,eliminated,-2300.0,198,0,2,6
303,eliminated,-2300.0,14,0,3,10
304,victory,2100.0,34,4,0,9
305,victory,2000.0,78,3,0,10
306,victory,2000.0,35,3,0,8
307,eliminated,-2300.0,19,0,2,10
308,eliminated,-2100.0,103,2,0,8
309,victory,2200.0,35,5,0,10
310,victory,2200.0,32,5,0,10
311,victory,2100.0,47,4,0,9
312,victory,2000.0,16,3,0,10
313,eliminated,-2300.0,14,0,5,10
314,victory,2100.0,49,4,0,8
315,eliminated,-2300.0,102,0,0,7
316,eliminated,-2100.0,99,2,0,6
317,victory,2200.0,27,5,0,10
318,eliminated,-2300.0,51,0,5,9
319,eliminated,-2300.0,19,0,4,10
320,victory,2000.0,67,3,0,9
321,eliminated,-2300.0,23,0,3,10
322,eliminated,-2200.0,42,1,0,9
323,victory,2000.0,29,3,0,10
324,victory,2000.0,32,3,0,9
325,victory,2100.0,21,4,0,9
326,victory,2300.0,41,6,0,8
327,eliminated,-2300.0,13,0,4,10
328,eliminated,-2100.0,25,2,0,10
329,victory,2700.0,53,10,0,7
330,eliminated,-2300.0,10,0,6,10
331,victory,2000.0,37,3,0,9
332,victory,2000.0,40,3,0,9
333,victory,2400.0,45,7,0,9
334,eliminated,-2200.0,67,1,0,9
335,eliminated,-2300.0,34,0,0,10
336,victory,2300.0,35,6,0,9
337,victory,2000.0,50,3,0,8
338,eliminated,-2300.0,33,0,3,9
339,victory,2500.0,122,8,0,6
340,victory,2200.0,56,5,0,10
341,victory,2500.0,29,8,0,9
342,victory,2100.0,42,4,0,9
343,victory,2200.0,51,5,0,9
344,eliminated,-2200.0,81,1,0,6
345,victory,2300.0,29,6,0,9
346,victory,2400.0,45,7,0,10
347,victory,2000.0,34,3,0,9
348,victory,2100.0,31,4,0,10
349,victory,2200.0,64,5,0,8
350,victory,2300.0,46,6,0,9
351,victory,2200.0,31,5,0,9
352,eliminated,-2300.0,22,0,3,9
353,eliminated,-2300.0,15,0,3,10
354,eliminated,-2100.0,135,2,0,7
355,eliminated,-2300.0,72,0,2,8
356,eliminated,-2300.0,14,0,5,10
357,eliminated,-2100.0,27,2,0,9
358,victory,2000.0,73,3,0,9
359,eliminated,-2300.0,147,0,0,7
360,eliminated,-2100.0,63,2,0,8
361,victory,2300.0,41,6,0,9
362,victory,2300.0,54,6,0,10
363,victory,2100.0,38,4,0,7
364,victory,2200.0,68,5,0,8
365,eliminated,-2300.0,24,0,4,10
366,eliminated,-2300.0,23,0,3,8
367,eliminated,-2300.0,13,0,4,10
368,eliminated,-2300.0,78,0,0,9
369,eliminated,-2300.0,13,0,3,10
370,victory,2200.0,48,5,0,9
371,victory,2000.0,41,3,0,10
372,victory,2000.0,28,3,0,9
373,eliminated,-2300.0,69,0,0,8
374,eliminated,-2300.0,32,0,5,10
375,victory,2200.0,69,5,0,9
376,victory,2400.0,61,7,0,9
377,victory,2200.0,46,5,0,9
378,eliminated,-2300.0,15,0,6,10
379,eliminated,-2300.0,24,0,4,10
380,victory,2000.0,30,3,0,8
381,victory,2200.0,14,5,0,9
382,eliminated,-2300.0,54,0,2,10
383,victory,2000.0,71,3,0,9
384,victory,2100.0,38,4,0,9
385,eliminated,-2300.0,42,0,0,9
386,victory,2200.0,24,5,0,10
387,eliminated,-2200.0,44,1,0,10
388,victory,2100.0,33,4,0,10
389,eliminated,-2300.0,44,0,0,9
390,victory,2100.0,80,4,0,8
391,eliminated,-2300.0,43,0,1,9
392,eliminated,-2200.0,28,1,0,10
393,eliminated,-2200.0,31,1,0,10
394,eliminated,-2300.0,7,0,6,10
395,victory,2200.0,43,5,0,9
396,victory,2300.0,16,6,0,8
397,victory,2000.0,73,3,0,10
398,eliminated,-2200.0,35,1,0,9
399,eliminated,-2300.0,7,0,5,10
400,victory,2100.0,27,4,0,10
401,eliminated,-2200.0,37,1,0,10
402,victory,2400.0,134,7,0,8
403,victory,2500.0,55,8,0,8
404,victory,2400.0,97,7,0,9
405,victory,2700.0,195,10,0,6
406,victory,2600.0,35,9,0,8
407,victory,2000.0,31,3,0,10
408,victory,2000.0,40,3,0,9
409,victory,2000.0,47,3,0,9
410,eliminated,-2300.0,35,0,3,10
411,eliminated,-2100.0,69,2,0,9
412,victory,2000.0,71,3,0,9
413,victory,2100.0,64,4,0,9
414,victory,2100.0,56,4,0,8
415,victory,2000.0,43,3,0,9
416,eliminated,-2300.0,61,0,3,10
417,eliminated,-2100.0,41,2,0,10
418,victory,2000.0,34,3,0,9
419,eliminated,-2200.0,78,1,0,7
420,eliminated,-2300.0,15,0,5,10
421,eliminated,-2300.0,17,0,3,10
422,eliminated,-2300.0,38,0,1,10
423,eliminated,-2300.0,37,0,0,8
424,victory,2200.0,78,5,0,7
425,victory,2300.0,110,6,0,8
426,eliminated,-2200.0,27,1,0,10
427,victory,2300.0,42,6,0,10
428,victory,2400.0,24,7,0,9
429,eliminated,-2300.0,52,0,2,8
430,eliminated,-2300.0,26,0,2,10
431,eliminated,-2100.0,32,2,0,10
432,victory,2300.0,33,6,0,9
433,victory,2100.0,57,4,0,9
434,victory,2200.0,34,5,0,10
435,eliminated,-2200.0,48,1,0,9
436,victory,2300.0,51,6,0,8
437,victory,2400.0,32,7,0,10
438,eliminated,-2200.0,48,1,0,10
439,eliminated,-2200.0,74,1,0,9
440,eliminated,-2100.0,45,2,0,9
441,victory,2000.0,26,3,0,10
442,victory,2100.0,36,4,0,9
443,eliminated,-2300.0,27,0,2,10
444,victory,2500.0,50,8,0,8
445,eliminated,-2300.0,11,0,3,10
446,eliminated,-2200.0,77,1,0,9
447,eliminated,-2300.0,19,0,6,10
448,victory,2500.0,29,8,0,8
449,victory,2100.0,124,4,0,6
450,eliminated,-2300.0,27,0,1,10
451,victory,2300.0,29,6,0,10
452,eliminated,-2300.0,64,0,0,10
453,eliminated,-2300.0,39,0,1,10
454,victory,2000.0,31,3,0,9
455,eliminated,-2100.0,19,2,0,10
456,eliminated,-2200.0,42,1,0,10
457,victory,2300.0,27,6,0,9
458,victory,2100.0,35,4,0,10
459,eliminated,-2300.0,24,0,0,9
460,victory,2000.0,19,3,0,10
461,eliminated,-2300.0,19,0,2,10
462,victory,2000.0,25,3,0,9
463,eliminated,-2100.0,26,2,0,10
464,eliminated,-2300.0,44,0,6,8
465,eliminated,-2200.0,139,1,0,7
466,eliminated,-2300.0,23,0,3,10
467,eliminated,-2200.0,41,1,0,9
468,victory,2100.0,47,4,0,9
469,eliminated,-2300.0,58,0,2,10
470,victory,2000.0,45,3,0,9
471,victory,2300.0,27,6,0,9
472,victory,2100.0,48,4,0,10
473,eliminated,-2300.0,41,0,6,9
474,victory,2000.0,53,3,0,9
475,victory,2100.0,46,4,0,9
476,victory,2000.0,33,3,0,9
477,victory,2200.0,38,5,0,9
478,eliminated,-2200.0,44,1,0,10
479,victory,2100.0,37,4,0,10
480,victory,2500.0,176,8,0,5
481,eliminated,-2100.0,30,2,0,9
482,victory,2000.0,32,3,0,9
483,victory,2400.0,64,7,0,8
484,victory,2300.0,126,6,0,7
485,eliminated,-2100.0,126,2,0,7
486,eliminated,-2300.0,36,0,2,10
487,eliminated,-2100.0,23,2,0,9
488,victory,2100.0,20,4,0,9
489,victory,2300.0,25,6,0,9
490,eliminated,-2300.0,19,0,5,10
491,eliminated,-2300.0,19,0,4,10
492,victory,2300.0,44,6,0,9
493,victory,2200.0,29,5,0,10
494,victory,2000.0,41,3,0,10
495,victory,2000.0,62,3,0,9
496,victory,2000.0,76,3,0,8
497,victory,2200.0,50,5,0,9
498,eliminated,-2300.0,7,0,5,10
499,victory,2000.0,21,3,0,10
500,eliminated,-2100.0,91,2,0,7
501,eliminated,-2100.0,36,2,0,8
502,eliminated,-2100.0,32,2,0,10
503,eliminated,-2300.0,73,0,3,10
504,victory,2200.0,77,5,0,6
505,eliminated,-2100.0,39,2,0,9
506,eliminated,-2300.0,26,0,0,9
507,victory,2000.0,45,3,0,10
508,eliminated,-2300.0,15,0,5,10
509,victory,2200.0,31,5,0,10
510,victory,2100.0,77,4,0,9
511,victory,2000.0,25,3,0,9
512,victory,2500.0,26,8,0,9
513,victory,2100.0,35,4,0,10
514,victory,2000.0,39,3,0,10
515,eliminated,-2200.0,25,1,0,8
516,eliminated,-2300.0,34,0,3,10
517,eliminated,-2100.0,21,2,0,10
518,eliminated,-2300.0,43,0,3,10
519,eliminated,-2300.0,19,0,6,10
520,eliminated,-2100.0,115,2,0,6
521,victory,2000.0,63,3,0,9
522,eliminated,-2300.0,32,0,3,10
523,victory,2400.0,44,7,0,9
524,eliminated,-2300.0,42,0,3,10
525,eliminated,-2300.0,72,0,3,9
526,victory,2000.0,29,3,0,9
527,eliminated,-2100.0,45,2,0,9
528,victory,2400.0,50,7,0,8
529,victory,2100.0,43,4,0,10
530,eliminated,-2200.0,82,1,0,8
531,eliminated,-2300.0,23,0,1,9
532,victory,2100.0,108,4,0,7
533,eliminated,-2300.0,17,0,4,10
534,eliminated,-2300.0,10,0,6,10
535,eliminated,-2300.0,17,0,5,10
536,victory,2100.0,28,4,0,8
537,victory,2100.0,22,4,0,10
538,victory,2000.0,32,3,0,9
539,eliminated,-2300.0,12,0,6,10
540,eliminated,-2300.0,20,0,2,10
541,victory,2200.0,21,5,0,10
542,victory,2000.0,59,3,0,8
543,victory,2300.0,62,6,0,8
544,victory,2400.0,31,7,0,8
545,victory,2100.0,34,4,0,9
546,eliminated,-2100.0,64,2,0,9
547,eliminated,-2300.0,21,0,3,10
548,eliminated,-2100.0,122,2,0,5
549,victory,2400.0,35,7,0,10
550,victory,2200.0,149,5,0,4
551,victory,2400.0,31,7,0,8
552,eliminated,-2100.0,91,2,0,9
553,eliminated,-2300.0,17,0,3,10
554,victory,2200.0,24,5,0,10
555,eliminated,-2300.0,3,0,6,10
556,victory,2000.0,58,3,0,9
557,eliminated,-2100.0,65,2,0,8
558,eliminated,-2100.0,46,2,0,10
559,victory,2300.0,39,6,0,9
560,victory,2200.0,26,5,0,9
561,eliminated,-2300.0,34,0,2,8
562,eliminated,-2300.0,19,0,1,10
563,eliminated,-2300.0,36,0,4,10
564,victory,2100.0,40,4,0,7
565,eliminated,-2300.0,28,0,0,10
566,victory,2300.0,25,6,0,10
567,victory,2300.0,66,6,0,8
568,eliminated,-2300.0,17,0,3,10
569,eliminated,-2300.0,32,0,4,9
570,eliminated,-2300.0,25,0,1,10
571,victory,2200.0,61,5,0,9
572,victory,2200.0,69,5,0,7
573,eliminated,-2300.0,34,0,0,9
574,eliminated,-2300.0,17,0,4,10
575,eliminated,-2300.0,8,0,6,10
576,victory,2000.0,123,3,0,6
577,victory,2500.0,28,8,0,8
578,victory,2400.0,81,7,0,9
579,victory,2100.0,127,4,0,6
580,eliminated,-2300.0,38,0,3,10
581,eliminated,-2200.0,79,1,0,7
582,victory,2400.0,65,7,0,9
583,eliminated,-2200.0,29,1,0,10
584,victory,2100.0,28,4,0,9
585,victory,2100.0,38,4,0,10
586,victory,2200.0,43,5,0,9
587,victory,2000.0,92,3,0,10
588,victory,2100.0,37,4,0,10
589,victory,2300.0,25,6,0,9
590,eliminated,-2300.0,54,0,3,9
591,victory,2200.0,62,5,0,9
592,victory,2100.0,27,4,0,9
593,victory,2300.0,69,6,0,8
594,eliminated,-2300.0,8,0,6,10
595,eliminated,-2300.0,26,0,1,9
596,eliminated,-2300.0,46,0,0,10
597,victory,2200.0,37,5,0,10
598,victory,2100.0,305,4,0,3
599,eliminated,-2100.0,34,2,0,9
600,victory,2300.0,67,6,0,10
601,victory,2100.0,15,4,0,10
602,victory,2300.0,38,6,0,9
603,eliminated,-2300.0,12,0,4,10
604,victory,2600.0,72,9,0,7
605,victory,2300.0,39,6,0,8
606,victory,2400.0,29,7,0,9
607,eliminated,-2300.0,15,0,3,9
608,victory,2100.0,44,4,0,8
609,victory,2000.0,91,3,0,8
610,victory,2100.0,33,4,0,9
611,eliminated,-2300.0,36,0,0,10
612,victory,2300.0,99,6,0,8
613,victory,2200.0,24,5,0,9
614,victory,2400.0,40,7,0,9
615,victory,2300.0,29,6,0,8
616,victory,2100.0,109,4,0,6
617,eliminated,-2300.0,25,0,1,10
618,victory,2200.0,100,5,0,6
619,victory,2500.0,77,8,0,9
620,victory,2000.0,24,3,0,9
621,victory,2100.0,37,4,0,10
622,victory,2100.0,48,4,0,9
623,eliminated,-2100.0,97,2,0,9
624,victory,2100.0,49,4,0,8
625,victory,2200.0,47,5,0,10
626,eliminated,-2300.0,25,0,1,9
627,victory,2100.0,59,4,0,9
628,eliminated,-2100.0,53,2,0,10
629,eliminated,-2300.0,13,0,4,10
630,eliminated,-2300.0,44,0,0,8
631,victory,2000.0,84,3,0,10
632,victory,2000.0,24,3,0,9
633,victory,2100.0,50,4,0,9
634,victory,2000.0,38,3,0,10
635,eliminated,-2300.0,40,0,1,10
636,victory,2400.0,59,7,0,9
637,victory,2000.0,20,3,0,9
638,victory,2300.0,42,6,0,9
639,eliminated,-2300.0,20,0,2,10
640,victory,2100.0,48,4,0,10
641,eliminated,-2200.0,28,1,0,10
642,victory,2300.0,34,6,0,9
643,eliminated,-2300.0,48,0,0,9
644,victory,2400.0,170,7,0,5
645,eliminated,-2300.0,14,0,3,10
646,victory,2300.0,28,6,0,10
647,victory,2300.0,36,6,0,10
648,eliminated,-2300.0,32,0,2,10
649,eliminated,-2300.0,30,0,5,10
650,eliminated,-2300.0,21,0,5,9
651,eliminated,-2100.0,39,2,0,7
652,victory,2100.0,37,4,0,10
653,eliminated,-2300.0,23,0,4,10
654,eliminated,-2300.0,81,0,1,8
655,victory,2100.0,56,4,0,9
656,eliminated,-2100.0,24,2,0,10
657,eliminated,-2300.0,44,0,1,8
658,eliminated,-2200.0,63,1,0,10
659,victory,2100.0,42,4,0,10
660,eliminated,-2300.0,40,0,0,9
661,eliminated,-2200.0,25,1,0,9
662,eliminated,-2200.0,46,1,0,10
663,eliminated,-2300.0,18,0,4,9
664,victory,2100.0,17,4,0,9
665,victory,2100.0,108,4,0,8
666,eliminated,-2300.0,34,0,4,10
667,victory,2300.0,62,6,0,8
668,victory,2500.0,29,8,0,8
669,victory,2000.0,55,3,0,9
670,victory,2000.0,44,3,0,10
671,victory,2000.0,30,3,0,10
672,victory,2200.0,22,5,0,8
673,victory,2200.0,27,5,0,7
674,victory,2100.0,21,4,0,10
675,eliminated,-2100.0,69,2,0,9
676,victory,2100.0,67,4,0,10
677,eliminated,-2300.0,19,0,2,10
678,eliminated,-2100.0,61,2,0,8
679,eliminated,-2300.0,45,0,0,9
680,victory,2300.0,57,6,0,8
681,victory,2100.0,37,4,0,9
682,victory,2100.0,59,4,0,9
683,victory,2100.0,33,4,0,10
684,victory,2200.0,86,5,0,5
685,victory,2000.0,29,3,0,9
686,victory,2500.0,49,8,0,8
687,victory,2100.0,48,4,0,9
688,victory,2100.0,71,4,0,7
689,victory,2000.0,64,3,0,10
690,eliminated,-2300.0,31,0,4,10
691,victory,2300.0,69,6,0,8
692,victory,2000.0,47,3,0,9
693,victory,2200.0,36,5,0,10
694,victory,2300.0,45,6,0,10
695,victory,2100.0,125,4,0,8
696,victory,2200.0,50,5,0,8
697,victory,2300.0,24,6,0,9
698,victory,2000.0,69,3,0,9
699,eliminated,-2300.0,22,0,4,10
700,eliminated,-2300.0,31,0,2,10
701,victory,2300.0,253,6,0,4
702,victory,2000.0,51,3,0,8
703,victory,2100.0,57,4,0,9
704,victory,2400.0,40,7,0,9
705,eliminated,-2300.0,29,0,1,9
706,victory,2400.0,53,7,0,6
707,eliminated,-2300.0,21,0,2,10
708,eliminated,-2100.0,31,2,0,9
709,victory,2200.0,33,5,0,9
710,victory,2100.0,43,4,0,10
711,victory,2200.0,78,5,0,8
712,victory,2100.0,26,4,0,9
713,eliminated,-2300.0,90,0,0,8
714,victory,2300.0,40,6,0,9
715,eliminated,-2300.0,94,0,1,8
716,victory,2000.0,44,3,0,9
717,victory,2600.0,64,9,0,8
